datetime,avg_price,min_price,max_price,volume,item
2025-04-10T00:00:00.000+00:00,70.0,68,72,98,Mesa Prime
2025-04-11T00:00:00.000+00:00,70.0,68,72,102,Mesa Prime
2025-04-12T00:00:00.000+00:00,68.5,67,70,97,Mesa Prime
2025-04-13T00:00:00.000+00:00,68.5,67,70,109,Mesa Prime
2025-04-14T00:00:00.000+00:00,69.0,68,70,80,Mesa Prime
2025-04-15T00:00:00.000+00:00,87.5,55,120,146,Mesa Prime
2025-04-16T00:00:00.000+00:00,69.5,69,70,94,Mesa Prime
2025-04-17T00:00:00.000+00:00,70.0,68,72,102,Mesa Prime
2025-04-18T00:00:00.000+00:00,69.5,69,70,89,Mesa Prime
2025-04-19T00:00:00.000+00:00,70.0,68,72,114,Mesa Prime
2025-04-20T00:00:00.000+00:00,69.0,68,70,110,Mesa Prime
2025-04-21T00:00:00.000+00:00,69.5,69,70,79,Mesa Prime
2025-04-22T00:00:00.000+00:00,70.5,69,72,77,Mesa Prime
2025-04-23T00:00:00.000+00:00,70.5,69,72,68,Mesa Prime
2025-04-24T00:00:00.000+00:00,70.0,65,75,118,Mesa Prime
2025-04-25T00:00:00.000+00:00,77.5,55,100,113,Mesa Prime
2025-04-26T00:00:00.000+00:00,67.5,55,80,119,Mesa Prime
2025-04-27T00:00:00.000+00:00,70.0,68,72,75,Mesa Prime
2025-04-28T00:00:00.000+00:00,70.0,68,72,48,Mesa Prime
2025-04-29T00:00:00.000+00:00,70.0,65,75,96,Mesa Prime
2025-04-30T00:00:00.000+00:00,69.0,68,70,62,Mesa Prime
2025-05-01T00:00:00.000+00:00,70.0,65,75,95,Mesa Prime
2025-05-02T00:00:00.000+00:00,69.0,63,75,93,Mesa Prime
2025-05-03T00:00:00.000+00:00,70.0,68,72,83,Mesa Prime
2025-05-04T00:00:00.000+00:00,69.5,68,71,79,Mesa Prime
2025-05-05T00:00:00.000+00:00,77.5,40,115,106,Mesa Prime
2025-05-06T00:00:00.000+00:00,71.0,67,75,87,Mesa Prime
2025-05-07T00:00:00.000+00:00,70.0,60,80,125,Mesa Prime
2025-05-08T00:00:00.000+00:00,70.0,68,72,60,Mesa Prime
2025-05-09T00:00:00.000+00:00,72.0,69,75,119,Mesa Prime
2025-05-10T00:00:00.000+00:00,74.5,73,76,74,Mesa Prime
2025-05-11T00:00:00.000+00:00,70.0,65,75,129,Mesa Prime
2025-05-12T00:00:00.000+00:00,74.0,70,78,96,Mesa Prime
2025-05-13T00:00:00.000+00:00,71.5,65,78,92,Mesa Prime
2025-05-14T00:00:00.000+00:00,73.5,72,75,65,Mesa Prime
2025-05-15T00:00:00.000+00:00,74.0,69,79,89,Mesa Prime
2025-05-16T00:00:00.000+00:00,73.5,67,80,85,Mesa Prime
2025-05-17T00:00:00.000+00:00,72.5,65,80,121,Mesa Prime
2025-05-18T00:00:00.000+00:00,70.0,68,72,80,Mesa Prime
2025-05-19T00:00:00.000+00:00,73.5,68,79,110,Mesa Prime
2025-05-20T00:00:00.000+00:00,74.0,73,75,81,Mesa Prime
2025-05-21T00:00:00.000+00:00,74.0,73,75,53,Mesa Prime
2025-05-22T00:00:00.000+00:00,74.0,73,75,69,Mesa Prime
2025-05-23T00:00:00.000+00:00,73.5,72,75,77,Mesa Prime
2025-05-24T00:00:00.000+00:00,70.0,60,80,140,Mesa Prime
2025-05-25T00:00:00.000+00:00,74.5,74,75,87,Mesa Prime
2025-05-26T00:00:00.000+00:00,74.0,68,80,121,Mesa Prime
2025-05-27T00:00:00.000+00:00,75.5,69,82,118,Mesa Prime
2025-05-28T00:00:00.000+00:00,75.0,65,85,117,Mesa Prime
2025-05-29T00:00:00.000+00:00,74.5,69,80,128,Mesa Prime
2025-05-30T00:00:00.000+00:00,74.5,64,85,104,Mesa Prime
2025-05-31T00:00:00.000+00:00,72.0,65,79,119,Mesa Prime
2025-06-01T00:00:00.000+00:00,74.0,68,80,125,Mesa Prime
2025-06-02T00:00:00.000+00:00,75.0,70,80,92,Mesa Prime
2025-06-03T00:00:00.000+00:00,75.0,73,77,69,Mesa Prime
2025-06-04T00:00:00.000+00:00,71.0,62,80,88,Mesa Prime
2025-06-05T00:00:00.000+00:00,72.0,64,80,95,Mesa Prime
2025-06-06T00:00:00.000+00:00,75.0,73,77,67,Mesa Prime
2025-06-07T00:00:00.000+00:00,74.5,64,85,104,Mesa Prime
2025-06-08T00:00:00.000+00:00,75.0,70,80,112,Mesa Prime
2025-06-09T00:00:00.000+00:00,75.0,70,80,91,Mesa Prime
2025-06-10T00:00:00.000+00:00,74.0,73,75,59,Mesa Prime
2025-06-11T00:00:00.000+00:00,75.0,70,80,79,Mesa Prime
2025-06-12T00:00:00.000+00:00,74.5,69,80,83,Mesa Prime
2025-06-13T00:00:00.000+00:00,73.5,72,75,63,Mesa Prime
2025-06-14T00:00:00.000+00:00,74.0,73,75,68,Mesa Prime
2025-06-15T00:00:00.000+00:00,75.0,65,85,114,Mesa Prime
2025-06-16T00:00:00.000+00:00,73.5,67,80,81,Mesa Prime
2025-06-17T00:00:00.000+00:00,75.0,65,85,91,Mesa Prime
2025-06-18T00:00:00.000+00:00,72.5,65,80,84,Mesa Prime
2025-06-19T00:00:00.000+00:00,75.0,73,77,72,Mesa Prime
2025-06-20T00:00:00.000+00:00,75.0,70,80,84,Mesa Prime
2025-06-21T00:00:00.000+00:00,73.5,72,75,67,Mesa Prime
2025-06-22T00:00:00.000+00:00,74.5,69,80,114,Mesa Prime
2025-06-23T00:00:00.000+00:00,75.0,73,77,48,Mesa Prime
2025-06-24T00:00:00.000+00:00,75.0,73,77,58,Mesa Prime
2025-06-25T00:00:00.000+00:00,73.5,72,75,48,Mesa Prime
2025-06-26T00:00:00.000+00:00,72.5,65,80,90,Mesa Prime
2025-06-27T00:00:00.000+00:00,72.5,65,80,81,Mesa Prime
2025-06-28T00:00:00.000+00:00,72.5,65,80,100,Mesa Prime
2025-06-29T00:00:00.000+00:00,72.5,65,80,104,Mesa Prime
2025-04-02T00:00:00.000+00:00,73.0,67,79,111,Saryn Prime
2025-04-03T00:00:00.000+00:00,72.0,68,76,120,Saryn Prime
2025-04-04T00:00:00.000+00:00,71.5,68,75,133,Saryn Prime
2025-04-05T00:00:00.000+00:00,70.0,65,75,153,Saryn Prime
2025-04-06T00:00:00.000+00:00,70.0,68,72,124,Saryn Prime
2025-04-07T00:00:00.000+00:00,70.0,65,75,142,Saryn Prime
2025-04-08T00:00:00.000+00:00,70.5,66,75,119,Saryn Prime
2025-04-09T00:00:00.000+00:00,73.0,66,80,171,Saryn Prime
2025-04-10T00:00:00.000+00:00,71.5,66,77,149,Saryn Prime
2025-04-11T00:00:00.000+00:00,72.0,68,76,127,Saryn Prime
2025-04-12T00:00:00.000+00:00,70.0,65,75,170,Saryn Prime
2025-04-13T00:00:00.000+00:00,70.0,68,72,96,Saryn Prime
2025-04-14T00:00:00.000+00:00,70.0,65,75,86,Saryn Prime
2025-04-15T00:00:00.000+00:00,71.0,64,78,122,Saryn Prime
2025-04-16T00:00:00.000+00:00,73.5,72,75,50,Saryn Prime
2025-04-17T00:00:00.000+00:00,73.5,72,75,77,Saryn Prime
2025-04-18T00:00:00.000+00:00,73.5,72,75,72,Saryn Prime
2025-04-19T00:00:00.000+00:00,73.5,72,75,99,Saryn Prime
2025-04-20T00:00:00.000+00:00,73.5,67,80,109,Saryn Prime
2025-04-21T00:00:00.000+00:00,75.0,73,77,57,Saryn Prime
2025-04-22T00:00:00.000+00:00,75.0,65,85,91,Saryn Prime
2025-04-23T00:00:00.000+00:00,71.0,62,80,90,Saryn Prime
2025-04-24T00:00:00.000+00:00,72.5,65,80,78,Saryn Prime
2025-04-25T00:00:00.000+00:00,75.0,65,85,68,Saryn Prime
2025-04-26T00:00:00.000+00:00,74.0,68,80,92,Saryn Prime
2025-04-27T00:00:00.000+00:00,74.0,65,83,77,Saryn Prime
2025-04-28T00:00:00.000+00:00,75.0,65,85,70,Saryn Prime
2025-04-29T00:00:00.000+00:00,74.0,68,80,87,Saryn Prime
2025-04-30T00:00:00.000+00:00,72.5,65,80,57,Saryn Prime
2025-05-01T00:00:00.000+00:00,75.0,70,80,87,Saryn Prime
2025-05-02T00:00:00.000+00:00,74.0,73,75,43,Saryn Prime
2025-05-03T00:00:00.000+00:00,75.0,70,80,76,Saryn Prime
2025-05-04T00:00:00.000+00:00,74.5,74,75,42,Saryn Prime
2025-05-05T00:00:00.000+00:00,75.0,70,80,60,Saryn Prime
2025-05-06T00:00:00.000+00:00,74.5,69,80,68,Saryn Prime
2025-05-07T00:00:00.000+00:00,73.5,67,80,61,Saryn Prime
2025-05-08T00:00:00.000+00:00,72.5,65,80,69,Saryn Prime
2025-05-09T00:00:00.000+00:00,79.0,78,80,38,Saryn Prime
2025-05-10T00:00:00.000+00:00,78.5,77,80,38,Saryn Prime
2025-05-11T00:00:00.000+00:00,79.0,74,84,74,Saryn Prime
2025-05-12T00:00:00.000+00:00,78.5,77,80,48,Saryn Prime
2025-05-13T00:00:00.000+00:00,77.5,70,85,77,Saryn Prime
2025-05-14T00:00:00.000+00:00,77.5,75,80,86,Saryn Prime
2025-05-15T00:00:00.000+00:00,77.5,75,80,54,Saryn Prime
2025-05-16T00:00:00.000+00:00,79.0,78,80,58,Saryn Prime
2025-05-17T00:00:00.000+00:00,77.0,74,80,59,Saryn Prime
2025-05-18T00:00:00.000+00:00,78.5,77,80,69,Saryn Prime
2025-05-19T00:00:00.000+00:00,98.0,66,130,88,Saryn Prime
2025-05-20T00:00:00.000+00:00,81.0,62,100,86,Saryn Prime
2025-05-21T00:00:00.000+00:00,79.0,78,80,46,Saryn Prime
2025-05-22T00:00:00.000+00:00,79.0,76,82,74,Saryn Prime
2025-05-23T00:00:00.000+00:00,80.0,78,82,71,Saryn Prime
2025-05-24T00:00:00.000+00:00,79.0,78,80,66,Saryn Prime
2025-05-25T00:00:00.000+00:00,79.0,78,80,66,Saryn Prime
2025-05-26T00:00:00.000+00:00,79.0,78,80,76,Saryn Prime
2025-05-27T00:00:00.000+00:00,79.0,78,80,48,Saryn Prime
2025-05-28T00:00:00.000+00:00,79.0,78,80,60,Saryn Prime
2025-05-29T00:00:00.000+00:00,80.0,78,82,59,Saryn Prime
2025-05-30T00:00:00.000+00:00,79.0,78,80,54,Saryn Prime
2025-05-31T00:00:00.000+00:00,80.0,78,82,51,Saryn Prime
2025-06-01T00:00:00.000+00:00,115.0,70,160,78,Saryn Prime
2025-06-02T00:00:00.000+00:00,79.0,78,80,55,Saryn Prime
2025-06-03T00:00:00.000+00:00,79.0,78,80,40,Saryn Prime
2025-06-04T00:00:00.000+00:00,79.0,78,80,45,Saryn Prime
2025-06-05T00:00:00.000+00:00,80.0,74,86,56,Saryn Prime
2025-06-06T00:00:00.000+00:00,79.0,78,80,46,Saryn Prime
2025-06-07T00:00:00.000+00:00,79.5,79,80,60,Saryn Prime
2025-06-08T00:00:00.000+00:00,80.0,78,82,57,Saryn Prime
2025-06-09T00:00:00.000+00:00,80.0,75,85,66,Saryn Prime
2025-06-10T00:00:00.000+00:00,80.5,79,82,51,Saryn Prime
2025-06-11T00:00:00.000+00:00,80.5,79,82,40,Saryn Prime
2025-06-12T00:00:00.000+00:00,78.5,72,85,76,Saryn Prime
2025-06-13T00:00:00.000+00:00,80.0,70,90,80,Saryn Prime
2025-06-14T00:00:00.000+00:00,80.5,79,82,48,Saryn Prime
2025-06-15T00:00:00.000+00:00,79.0,78,80,44,Saryn Prime
2025-06-16T00:00:00.000+00:00,80.0,70,90,66,Saryn Prime
2025-06-17T00:00:00.000+00:00,80.0,70,90,92,Saryn Prime
2025-06-18T00:00:00.000+00:00,80.0,70,90,82,Saryn Prime
2025-06-19T00:00:00.000+00:00,82.0,74,90,56,Saryn Prime
2025-06-20T00:00:00.000+00:00,85.0,75,95,49,Saryn Prime
2025-06-21T00:00:00.000+00:00,80.0,70,90,99,Saryn Prime
2025-06-22T00:00:00.000+00:00,82.5,75,90,64,Saryn Prime
2025-06-23T00:00:00.000+00:00,84.5,84,85,39,Saryn Prime
2025-06-24T00:00:00.000+00:00,84.5,80,89,71,Saryn Prime
2025-06-25T00:00:00.000+00:00,84.5,83,86,31,Saryn Prime
2025-06-26T00:00:00.000+00:00,82.5,75,90,53,Saryn Prime
2025-06-27T00:00:00.000+00:00,82.5,75,90,76,Saryn Prime
2025-06-28T00:00:00.000+00:00,82.0,79,85,62,Saryn Prime
2025-06-29T00:00:00.000+00:00,80.0,76,84,51,Saryn Prime
