datetime,avg_price,min_price,max_price,volume,item,date,time,avg_price_7d
2025-06-23 00:00:00+00:00,42.0,31,53,77,Baruuk,2025-06-23,00:00:00,42.214285714285715
2025-06-24 00:00:00+00:00,40.5,39,42,38,Baruuk,2025-06-24,00:00:00,41.57142857142857
2025-06-25 00:00:00+00:00,41.0,34,48,56,Baruuk,2025-06-25,00:00:00,41.42857142857143
2025-06-26 00:00:00+00:00,40.0,35,45,69,Baruuk,2025-06-26,00:00:00,41.42857142857143
2025-06-27 00:00:00+00:00,40.0,35,45,60,Baruuk,2025-06-27,00:00:00,41.42857142857143
2025-06-28 00:00:00+00:00,38.5,37,40,57,Baruuk,2025-06-28,00:00:00,40.857142857142854
2025-06-29 00:00:00+00:00,40.0,35,45,85,Baruuk,2025-06-29,00:00:00,40.285714285714285
2025-06-30 00:00:00+00:00,40.0,35,45,74,Baruuk,2025-06-30,00:00:00,40.0
2025-07-01 00:00:00+00:00,42.5,35,50,80,Baruuk,2025-07-01,00:00:00,40.285714285714285
2025-07-02 00:00:00+00:00,40.0,30,50,71,Baruuk,2025-07-02,00:00:00,40.142857142857146
2025-04-05 00:00:00+00:00,68.5,67,70,93,Ember,2025-04-05,00:00:00,68.5
2025-04-06 00:00:00+00:00,70.0,68,72,88,Ember,2025-04-06,00:00:00,69.25
2025-04-07 00:00:00+00:00,70.0,65,75,83,Ember,2025-04-07,00:00:00,69.5
2025-04-08 00:00:00+00:00,70.0,68,72,54,Ember,2025-04-08,00:00:00,69.625
2025-04-09 00:00:00+00:00,70.0,68,72,71,Ember,2025-04-09,00:00:00,69.7
2025-04-10 00:00:00+00:00,69.5,59,80,103,Ember,2025-04-10,00:00:00,69.66666666666667
2025-04-11 00:00:00+00:00,70.0,68,72,75,Ember,2025-04-11,00:00:00,69.71428571428571
2025-04-12 00:00:00+00:00,69.5,68,71,83,Ember,2025-04-12,00:00:00,69.85714285714286
2025-04-13 00:00:00+00:00,68.5,67,70,76,Ember,2025-04-13,00:00:00,69.64285714285714
2025-04-14 00:00:00+00:00,70.5,67,74,60,Ember,2025-04-14,00:00:00,69.71428571428571
2025-04-15 00:00:00+00:00,70.0,65,75,75,Ember,2025-04-15,00:00:00,69.71428571428571
2025-04-16 00:00:00+00:00,70.0,65,75,81,Ember,2025-04-16,00:00:00,69.71428571428571
2025-04-17 00:00:00+00:00,71.0,67,75,80,Ember,2025-04-17,00:00:00,69.92857142857143
2025-04-18 00:00:00+00:00,72.5,65,80,81,Ember,2025-04-18,00:00:00,70.28571428571429
2025-04-19 00:00:00+00:00,71.0,64,78,84,Ember,2025-04-19,00:00:00,70.5
2025-04-20 00:00:00+00:00,71.0,65,77,86,Ember,2025-04-20,00:00:00,70.85714285714286
2025-04-21 00:00:00+00:00,73.5,72,75,42,Ember,2025-04-21,00:00:00,71.28571428571429
2025-04-22 00:00:00+00:00,75.0,70,80,70,Ember,2025-04-22,00:00:00,72.0
2025-04-23 00:00:00+00:00,75.0,65,85,64,Ember,2025-04-23,00:00:00,72.71428571428571
2025-04-24 00:00:00+00:00,75.0,73,77,49,Ember,2025-04-24,00:00:00,73.28571428571429
2025-04-25 00:00:00+00:00,74.0,63,85,62,Ember,2025-04-25,00:00:00,73.5
2025-04-26 00:00:00+00:00,73.5,62,85,76,Ember,2025-04-26,00:00:00,73.85714285714286
2025-04-27 00:00:00+00:00,75.0,65,85,65,Ember,2025-04-27,00:00:00,74.42857142857143
2025-04-28 00:00:00+00:00,77.0,74,80,69,Ember,2025-04-28,00:00:00,74.92857142857143
2025-04-29 00:00:00+00:00,77.0,74,80,51,Ember,2025-04-29,00:00:00,75.21428571428571
2025-04-30 00:00:00+00:00,71.0,62,80,76,Ember,2025-04-30,00:00:00,74.64285714285714
2025-05-01 00:00:00+00:00,75.0,70,80,60,Ember,2025-05-01,00:00:00,74.64285714285714
2025-05-02 00:00:00+00:00,71.0,62,80,60,Ember,2025-05-02,00:00:00,74.21428571428571
2025-05-03 00:00:00+00:00,73.0,61,85,82,Ember,2025-05-03,00:00:00,74.14285714285714
2025-05-04 00:00:00+00:00,76.0,65,87,71,Ember,2025-05-04,00:00:00,74.28571428571429
2025-05-05 00:00:00+00:00,79.5,69,90,66,Ember,2025-05-05,00:00:00,74.64285714285714
2025-05-06 00:00:00+00:00,79.5,74,85,51,Ember,2025-05-06,00:00:00,75.0
2025-05-07 00:00:00+00:00,80.0,70,90,65,Ember,2025-05-07,00:00:00,76.28571428571429
2025-05-08 00:00:00+00:00,78.5,77,80,36,Ember,2025-05-08,00:00:00,76.78571428571429
2025-05-09 00:00:00+00:00,79.5,79,80,33,Ember,2025-05-09,00:00:00,78.0
2025-05-10 00:00:00+00:00,80.0,78,82,67,Ember,2025-05-10,00:00:00,79.0
2025-05-11 00:00:00+00:00,80.0,75,85,115,Ember,2025-05-11,00:00:00,79.57142857142857
2025-05-12 00:00:00+00:00,78.5,67,90,80,Ember,2025-05-12,00:00:00,79.42857142857143
2025-05-13 00:00:00+00:00,80.0,70,90,74,Ember,2025-05-13,00:00:00,79.5
2025-05-14 00:00:00+00:00,84.0,73,95,79,Ember,2025-05-14,00:00:00,80.07142857142857
2025-05-15 00:00:00+00:00,82.5,75,90,53,Ember,2025-05-15,00:00:00,80.64285714285714
2025-05-16 00:00:00+00:00,80.0,70,90,90,Ember,2025-05-16,00:00:00,80.71428571428571
2025-05-17 00:00:00+00:00,80.0,78,82,56,Ember,2025-05-17,00:00:00,80.71428571428571
2025-05-18 00:00:00+00:00,80.0,70,90,95,Ember,2025-05-18,00:00:00,80.71428571428571
2025-05-19 00:00:00+00:00,80.5,71,90,92,Ember,2025-05-19,00:00:00,81.0
2025-05-20 00:00:00+00:00,80.0,70,90,82,Ember,2025-05-20,00:00:00,81.0
2025-05-21 00:00:00+00:00,82.0,74,90,101,Ember,2025-05-21,00:00:00,80.71428571428571
2025-05-22 00:00:00+00:00,82.5,75,90,102,Ember,2025-05-22,00:00:00,80.71428571428571
2025-05-23 00:00:00+00:00,78.0,66,90,110,Ember,2025-05-23,00:00:00,80.42857142857143
2025-05-24 00:00:00+00:00,80.0,78,82,83,Ember,2025-05-24,00:00:00,80.42857142857143
2025-05-25 00:00:00+00:00,79.0,78,80,68,Ember,2025-05-25,00:00:00,80.28571428571429
2025-05-26 00:00:00+00:00,80.0,75,85,60,Ember,2025-05-26,00:00:00,80.21428571428571
2025-05-27 00:00:00+00:00,80.0,70,90,78,Ember,2025-05-27,00:00:00,80.21428571428571
2025-05-28 00:00:00+00:00,80.5,71,90,76,Ember,2025-05-28,00:00:00,80.0
2025-05-29 00:00:00+00:00,83.0,71,95,100,Ember,2025-05-29,00:00:00,80.07142857142857
2025-05-30 00:00:00+00:00,80.0,70,90,94,Ember,2025-05-30,00:00:00,80.35714285714286
2025-05-31 00:00:00+00:00,80.0,70,90,88,Ember,2025-05-31,00:00:00,80.35714285714286
2025-06-01 00:00:00+00:00,80.0,70,90,93,Ember,2025-06-01,00:00:00,80.5
